ID,Hashtags,URLs
1627690875253047296,,
1627690874544029698,#foutagedegueule,
1627690873361145856,,https://t.co/iuWWieYUDw
1627690872790986753,,
1627690872178450433,"#mainstream, #Covid, #vaccini",
1627690870261616641,,
1627690868986486786,,https://t.co/BMApNsuyg4
1627690865685856264,,
1627690865677201409,,https://t.co/AWi3q0bek0
1627690865509400581,,https://t.co/dneJUwpYCq
1627690863403974659,,
1627690863060201473,,
1627690862699327488,,
1627690861491519488,,
1627690861126451200,,https://t.co/R9HpWtUJCX
1627690860224692225,,https://t.co/2CeUXJ7m1A
1627690859113361409,,
1627690858995916805,,
1627690858597212161,,
1627690857728974849,,
1627690856546283520,,
1627690855795490817,,
1627690855485124610,,
1627690855459872770,"#SP1, #GloboLixo",
1627690854616821761,,
1627690853496913923,,
1627690852087697408,,
1627690851928272901,,https://t.co/2wGtShVkCM
1627690851437809664,,
1627690851374702594,,
1627690847868166146,,
1627690847671054338,,https://t.co/kdbzhwx5lZ
1627690847633276928,,
1627690847360933892,,
1627690846962212864,#soignants,
1627690846538571776,,
1627690845641007104,,
1627690845163130880,,
1627690844328271873,,
1627690844131041281,"#EEUU, #USA, #Florida",
1627690844085006337,,
1627690843728498688,,"https://t.co/td2uYgOecW, https://t.co/cBp46N0Yqd"
1627690842650714113,,
1627690841652297729,,
1627690840364847104,,
1627690839399886857,,
1627690839349526531,#Entérate,
1627690837244092418,,
1627690836522594304,#COVID19,https://t.co/G2SAU8qk0X
1627690836090839043,,
1627690835675578376,,
1627690835473989632,,"https://t.co/xh6UcXOryl, https://t.co/XdkRnh14ip"
1627690834438004737,,
1627690832273743873,,
1627690829950119942,,
1627690829602238465,,
1627690827278417920,,https://t.co/nANqZuNCx2
1627690826280189959,,
1627690825554571264,,
1627690823390269446,#covid,
1627690821725167617,,
1627690820479643650,,
1627690820399767552,,
1627690820139622405,,https://t.co/eArVvoZKma
1627690820022181889,,
1627690818147319810,,
1627690816784281600,,
1627690816696381441,,https://t.co/2Zh91RZevU
1627690816180305927,,
1627690815731408898,,
1627690815668486146,,
1627690815555358721,,
1627690815500824577,,
1627690814494179331,,
1627690814255104000,,
1627690813676310529,,
1627690812740968449,#FestivalDeCarnavales20,
1627690812371771393,,
1627690811478405120,,
1627690811126169601,,
1627690809922584577,,
1627690806877294592,,
1627690806705287175,,
1627690806353231872,,
1627690805103132673,,
1627690805082091520,,https://t.co/2UbUYnWGLO
1627690803937128449,,
1627690799923183618,,https://t.co/qs3fKWcvvL
1627690798656413697,,
1627690797834305539,,
1627690797662437376,"#Covid, #Cu",
1627690797637287939,"#EEUU, #USA, #Florida",
1627690797100417024,,https://t.co/…
1627690796936724480,,
1627690796110565382,,
1627690795242225665,#longcovid,https://t.co…
1627690793086619650,,
1627690792415379456,,
1627690791463276546,,
